127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.018829
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.017092
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.018350
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.017391
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.019248
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000669
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000689
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000617
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001840
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000629
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000337
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000515
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000639
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000525
